ReportNo	SubReportName	StoredProcName	DatasetUserName	Description
65	LONOTE	dbo.vida_LO_Note_FR	DS_VIDA_LONOTE	
502	LO_Avrop_Note	dbo.vis_AVROP_LO_Note_FR	DS_AVROP_LO	
502	LONOTE	dbo.vida_LO_Note_FR	DS_VIDA_LONOTE	
69	TRPNOTE	dbo.vida_trporder_note_FR	DS_TRPNOTE	
69	Trp_Avrop_Note	dbo.vis_AVROP_trporder_note_FR	DS_Trp_Avrop_Note	
11	Trp_Avrop_Note	dbo.vis_AVROP_trporder_Note_FR	DS_AVROP_NOTE	
11	TRPNOTE	dbo.vida_trporder_Note_FR	DS_TRPNOTE	
504	Trp_Avrop_Note	dbo.vis_AVROP_trporder_Note_FR	DS_AVROP_NOTE	
504	TRPNOTE	dbo.vida_trporder_Note_FR	DS_TRPNOTE	
572	LO_Avrop_Note	dbo.vida_LO_Note_FR	DS_LO_Avrop_Note	
572	LONOTE	dbo.vis_AVROP_LO_Note_FR	DS_LONOTE	
505	Trp_Avrop_Note	dbo.vis_AVROP_trporder_Note_FR	DS_AVROP_NOTE	
505	TRPNOTE	dbo.vida_trporder_Note_FR	DS_TRPNOTE	
503	LO_Avrop_Note	dbo.vis_AVROP_LO_Note_FR	DS_LO_Avrop_Note	
503	LONOTE	dbo.vida_LO_Note_FR	DS_LONOTE	
505	LO_Avrop_Note	dbo.vis_AVROP_LO_Note_FR	DS_VIS_AVROP_LO_NOTE	
505	LONOTE	dbo.vida_LO_Note_FR	DS_VIDA_LO_NOTE	
505	LO_CERT_TXT	dbo.vis_LO_CertText_FR	DS_LO_CERT_TXT	
289	LONOTE	dbo.vida_LO_Note_FR	DS_VIDA_LO_NOTE	
289	vis_AVROP_ALO_Note	dbo.vis_AVROP_ALO_Note_FR	DS_VIS_ALO	
289	LONOTEINT4	dbo.vida_LO_Note_INT_FR	DS_VIDA_LONOTE_INT	
289	LO_CERT_TXT	dbo.vis_LO_CertText_FR	DS_LO_CERT_TXT	
290	LONOTE	dbo.vida_LO_Note_FR	DS_VIDA_LO_NOTE	
290	vis_AVROP_ALO_Note	dbo.vis_AVROP_ALO_Note_FR	DS_VIS_ALO	
290	LONOTEINT4	dbo.vida_LO_Note_INT_FR	DS_VIDA_LONOTE_INT	
290	LO_CERT_TXT	dbo.vis_LO_CertText_FR	DS_LO_CERT_TXT	
536	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
93	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
93	ShipTo	dbo.vis_shipto_FR	DS_ShipTo	
91	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
91	ShipTo	dbo.vis_shipto_FR	DS_ShipTo	
508	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
508	Pkg_Avrop_SpecNote	dbo.vis_AVROP_PkgSpec_Note_FR	DS_Pkg_Avrop_SpecNote	
508	PkgSpecNote	dbo.vida_PkgSpec_Note_FR	DS_PkgSpecNote	
92	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
92	ShipTo	dbo.vis_shipto_FR	DS_ShipTo	
87	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
87	ShipTo	dbo.vis_shipto_FR	DS_ShipTo	
56	FS_Avrop_NOTE	dbo.vis_AVROP_FS_Note_FR	DS_VIS_AVROP_FS_NOTE	
56	FSNOTE	dbo.vida_FS_Note_FR	DS_VIDA_FS_NOTE	
509	CertWood	dbo.vis_contract_CertText_FR	DS_CertWood	
509	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
574	CertWood	dbo.vis_contract_CertText_FR	DS_CertWood	
574	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
563	CertWood	dbo.vis_contract_CertText_FR	DS_CertWood	
563	KNOTE	dbo.vida_KONTRAKT_Note_FR	DS_KNOTE	
20	LO_Avrop_Note	dbo.vis_AVROP_LO_Note_FR	DS_VIS_AVROP_LO_NOTE	
20	LONOTE	dbo.vida_LO_Note_FR	DS_VIDA_LO_NOTE	
20	LO_CERT_TXT	dbo.vis_LO_CertText_FR	DS_LO_CERT_TXT	
510	Trp_Avrop_Note	dbo.vis_AVROP_trporder_Note_FR	DS_Trp_Avrop_Note	
510	TRPNOTE	dbo.vida_trporder_Note_FR	DS_VIDA_TRPORDER_NOTE	
510	LO_CERT_TXT	dbo.vis_LO_CertText_FR	DS_LO_CERT_TXT	
22	Trp_Avrop_Note	dbo.vis_AVROP_trporder_Note_FR	DS_VIS_AVROP_TRPORDER_NOTE	
22	TRPNOTE	dbo.vida_trporder_Note_FR	DS_VIDA_TRPORDER_NOTE	
22	LO_CERT_TXT	dbo.vis_LO_CertText_FR	DS_LO_CERT_TXT	
506	LO_Avrop_Note	dbo.vis_AVROP_LO_Note_FR	DS_VIS_AVROP_LO_NOTE	
506	LONOTE	dbo.vida_LO_Note_FR	DS_VIDA_LO_NOTE	
506	LO_CERT_TXT	dbo.vis_LO_CertText_FR	DS_LO_CERT_TXT	
512	Trp_avrop_Note	dbo.vis_AVROP_trporder_Note_FR	DS_Trp_avrop_Note	
512	TRPNOTE	dbo.vida_trporder_note_FR	DS_TRPNOTE	
571	Trp_avrop_Note	dbo.vis_AVROP_trporder_Note_FR	DS_Trp_avrop_Note	
571	TRPNOTE	dbo.vida_trporder_note_FR	DS_TRPNOTE	
507	Avrop_LO_Note	dbo.vis_AVROP_LO_Note_FR	DS_Avrop_LO_Note	
507	LONOTE	dbo.vida_LO_Note_FR	DS_LONOTE	
599	Avrop_LO_Note	dbo.vis_AVROP_LO_Note_FR	DS_Avrop_LO_Note	
599	LONOTE	dbo.vida_LO_Note_FR	DS_LONOTE	
575	CertWood	dbo.vis_contract_CertText_FR	DS_CertWood	
513	CertWood	dbo.vis_contract_CertText_FR	DS_CertWood	
82	PkgSpecNote	dbo.vida_PkgSpec_Note_FR	DS_PKGSPEC	
82	CertWood	dbo.vis_invoice_CertText_FR	DS_CertWood	
82	Pkg_Avrop_SpecNote	dbo.vis_AVROP_PkgSpec_Note_FR	DS_AVROP_PKGSPEC	
