ClientNo	RoleType	DocType	NoOfCopy	promptUser	collated	PrinterSetup	ReportNo
594	1	6	1	0	1	0	22
594	1	7	1	0	1	0	81
601	1	1	1	0	1	0	16
601	1	2	3	0	1	0	7
601	1	6	1	0	1	0	22
601	1	7	2	0	1	0	10
602	1	2	3	0	1	0	7
602	1	6	1	0	1	0	22
602	1	7	2	0	1	0	10
604	1	2	3	0	1	0	7
604	1	6	1	0	1	0	22
604	1	7	2	0	1	0	10
605	1	1	1	0	1	0	16
605	1	2	1	0	1	0	93
605	1	6	1	0	1	0	22
605	1	7	1	0	1	0	103
606	1	2	3	0	1	0	93
606	1	6	1	0	1	0	22
606	1	7	2	0	1	0	81
607	1	2	3	0	1	0	2
607	1	7	2	0	1	0	10
609	1	2	3	0	1	0	7
609	1	7	2	0	1	0	81
611	1	2	2	0	1	0	93
611	1	6	1	0	1	0	22
611	1	7	1	0	1	0	81
612	1	1	1	0	1	0	16
612	1	2	2	0	1	0	7
612	1	6	1	0	1	0	22
612	1	7	1	0	1	0	10
614	1	2	3	0	1	0	7
614	1	6	1	0	1	0	22
614	1	7	2	0	1	0	10
616	1	2	3	0	1	0	7
616	1	6	1	0	1	0	22
616	1	7	2	0	1	0	10
617	1	2	3	0	1	0	5
617	1	7	2	0	1	0	9
619	1	2	1	0	1	0	92
619	1	6	1	0	1	0	22
619	1	7	1	0	1	0	81
620	1	2	2	0	1	0	93
620	1	6	1	0	1	0	22
620	1	7	1	0	1	0	81
621	1	2	2	0	1	0	91
621	1	6	1	0	1	0	22
621	1	7	1	0	1	0	82
625	1	2	3	0	1	0	92
625	1	7	2	0	1	0	81
626	1	2	2	0	1	0	93
626	1	6	1	0	1	0	109
626	1	7	1	0	1	0	81
627	1	2	2	0	1	0	93
627	1	6	1	0	1	0	109
627	1	7	1	0	1	0	81
631	1	2	3	0	1	0	7
631	1	6	1	0	1	0	22
631	1	7	2	0	1	0	10
632	1	1	1	0	1	1	48
632	1	2	6	0	1	0	92
632	1	6	1	0	1	0	22
632	1	7	4	0	1	0	103
636	1	2	2	0	1	0	7
636	1	6	1	0	1	0	22
636	1	7	1	0	1	0	10
637	1	2	3	0	1	0	7
637	1	6	1	0	1	0	22
637	1	7	2	0	1	0	10
638	1	2	3	0	1	0	7
638	1	6	1	0	1	0	22
638	1	7	2	0	1	0	10
639	1	2	2	0	1	0	7
639	1	6	1	0	1	0	22
639	1	7	1	0	1	0	10
641	1	2	3	0	1	0	3
641	1	6	1	0	1	0	22
641	1	7	2	0	1	0	10
642	1	2	2	0	1	0	7
642	1	6	1	0	1	0	22
642	1	7	1	0	1	0	10
643	1	2	3	0	1	0	7
643	1	6	1	0	1	0	22
643	1	7	2	0	1	0	10
645	1	2	3	0	1	0	7
645	1	6	1	0	1	0	22
645	1	7	2	0	1	0	10
646	1	2	2	0	1	0	92
646	1	6	1	0	1	0	22
646	1	7	1	0	1	0	103
648	1	2	2	0	1	0	7
648	1	6	1	0	1	0	22
648	1	7	1	0	1	0	81
653	1	2	3	0	1	0	7
653	1	6	1	0	1	0	22
653	1	7	2	0	1	0	10
654	1	2	3	0	1	0	92
654	1	7	2	0	1	0	81
655	1	2	3	0	1	0	92
655	1	6	1	0	1	0	22
655	1	7	2	0	1	0	81
658	1	2	3	0	1	0	7
658	1	7	2	0	1	0	10
663	1	2	3	0	1	0	92
663	1	7	2	0	1	0	81
665	1	2	2	0	1	0	93
665	1	6	1	0	1	0	22
665	1	7	1	0	1	0	81
666	1	2	3	0	1	0	7
666	1	6	1	0	1	0	22
666	1	7	2	0	1	0	10
667	1	2	3	0	1	0	92
667	1	7	2	0	1	0	81
668	1	2	2	0	1	0	93
668	1	6	1	0	1	0	22
668	1	7	1	0	1	0	81
669	1	2	1	0	1	0	93
669	1	6	1	0	1	0	22
669	1	7	1	0	1	0	103
670	1	2	3	0	1	0	7
670	1	6	1	0	1	0	22
670	1	7	2	0	1	0	10
676	1	2	5	0	1	0	7
676	1	7	2	0	1	0	12
677	1	2	3	0	1	0	1
677	1	7	3	0	1	0	9
682	1	2	2	0	1	0	93
682	1	6	1	0	1	0	109
682	1	7	2	0	1	0	81
683	1	2	3	0	1	0	92
683	1	7	2	0	1	0	81
684	1	2	2	0	1	0	7
684	1	6	1	0	1	0	22
684	1	7	1	0	1	0	10
685	1	2	2	0	1	0	7
685	1	6	1	0	1	0	22
685	1	7	1	0	1	0	10
689	1	2	2	0	1	0	1
689	1	7	1	0	1	0	9
691	1	2	1	0	1	0	91
691	1	6	1	0	1	0	22
691	1	7	1	0	1	0	82
692	1	2	2	0	1	0	7
692	1	6	1	0	1	0	22
692	1	7	1	0	1	0	10
693	1	2	1	0	1	0	91
693	1	6	1	0	1	0	22
693	1	7	1	0	1	0	82
694	1	2	3	0	1	0	1
694	1	7	2	0	1	0	9
695	1	1	1	0	1	0	74
695	1	2	4	0	1	0	92
695	1	6	1	0	1	0	22
695	1	7	3	0	1	0	103
696	1	2	2	0	1	0	7
696	1	7	1	0	1	0	10
698	1	2	1	0	1	0	91
698	1	3	1	0	1	0	20
698	1	6	1	0	1	0	22
698	1	7	1	0	1	0	82
703	1	2	3	0	1	0	92
703	1	7	2	0	1	0	81
704	1	2	2	0	1	0	93
704	1	6	1	0	1	0	22
704	1	7	1	0	1	0	81
706	1	2	2	0	1	0	93
706	1	6	1	0	1	0	22
706	1	7	1	0	1	0	81
707	1	2	2	0	1	0	7
707	1	6	1	0	1	0	22
707	1	7	1	0	1	0	10
710	1	2	2	0	1	0	7
710	1	6	1	0	1	0	22
710	1	7	1	0	1	0	10
712	1	2	3	0	1	0	7
712	1	6	1	0	1	0	22
712	1	7	2	0	1	0	10
714	1	2	3	0	1	0	7
714	1	6	1	0	1	0	22
714	1	7	2	0	1	0	10
715	1	2	1	0	1	0	93
715	1	6	1	0	1	0	22
715	1	7	1	0	1	0	81
717	1	2	1	0	1	0	93
717	1	6	1	0	1	0	22
717	1	7	1	0	1	0	81
722	1	2	2	0	1	0	7
722	1	6	1	0	1	0	22
722	1	7	1	0	1	0	10
723	1	2	3	0	1	0	7
723	1	6	1	0	1	0	22
723	1	7	2	0	1	0	10
724	1	2	3	0	1	0	7
724	1	6	1	0	1	0	22
724	1	7	2	0	1	0	10
725	1	2	3	0	1	0	2
725	1	7	3	0	1	0	10
729	1	2	3	0	1	0	92
729	1	6	1	0	1	0	22
729	1	7	2	0	1	0	81
729	1	13	1	0	1	0	42
733	1	2	3	0	1	0	7
733	1	7	2	0	1	0	10
735	1	2	3	0	1	0	7
735	1	6	1	0	1	0	22
735	1	7	2	0	1	0	10
736	1	2	3	0	1	0	7
736	1	6	1	0	1	0	22
736	1	7	2	0	1	0	10
741	1	2	2	0	1	0	91
741	1	7	2	0	1	0	82
742	1	1	1	0	1	0	14
